CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO,Id
107474,1,2,0,0,1,3,1990,13,6,19,2009,2009,null,3067
107476,1,4,0,0,0,6,1989,7,8,20,2009,2009,null,1462
112692,2,2,0,0,0,6,1990,30,1,19,2009,2009,null,2776
96981,3,2,0,0,1,6,1990,19,1,19,2008,2009,null,1569
112692,2,2,0,0,0,1,1981,16,8,28,2009,2009,null,659
107474,1,4,0,0,0,3,1991,31,10,18,2009,2009,null,2488
96981,3,4,0,0,0,0,1990,12,3,19,2008,2009,null,1479
99503,2,4,0,0,1,3,1989,29,1,20,2008,2009,null,1420
107476,1,4,0,0,0,6,1990,7,12,19,2009,2009,null,1545
96981,3,2,0,0,0,3,1983,5,1,26,2009,2009,null,1498
96981,3,2,0,0,0,6,1991,23,10,18,2008,2009,null,1477
96981,3,2,0,0,1,6,1978,15,1,31,2007,2009,null,2186
96981,3,2,0,0,0,6,1989,20,8,20,2008,2009,null,1680
107474,1,1,0,0,0,1,1982,16,5,27,2009,2009,null,1844
107476,1,2,0,0,1,6,1978,2,4,31,2008,2009,null,1761
112692,2,2,0,0,0,6,1986,18,8,23,2008,2009,null,1843
107476,1,2,0,0,1,6,1990,26,2,19,2008,2009,null,3395
107476,1,2,0,0,0,6,1990,2,4,19,2008,2009,null,1762
112692,2,4,0,0,1,6,1970,18,4,39,2008,2009,null,1651
107476,1,4,0,0,1,6,1987,5,10,22,2008,2009,null,1755
107476,1,2,0,0,1,6,1988,30,9,21,2008,2009,null,2777
112692,2,4,0,0,0,6,1981,25,11,28,2008,2009,null,2509
112692,2,4,0,0,0,6,1980,21,7,29,2008,2009,null,3069
96981,3,6,0,0,0,6,1983,26,4,26,2006,2009,null,3396
107474,1,2,0,0,0,6,1989,9,2,20,2007,2009,null,1882
96981,3,2,0,0,0,6,1970,26,7,39,2006,2009,null,1885
107474,1,2,0,0,1,6,1989,17,2,20,2007,2009,null,1886
107474,1,2,0,0,1,6,1988,30,1,21,2007,2009,null,1887
107474,1,2,0,0,1,6,1989,5,2,20,2007,2009,null,1918
96981,3,2,0,0,0,6,1980,17,3,29,2006,2009,null,1892
107474,1,2,0,0,0,6,1961,11,11,48,2007,2009,null,1894
96981,3,6,0,0,0,6,1984,18,11,25,2006,2009,null,1898
107474,1,2,0,0,1,6,1986,5,4,23,2007,2009,null,3397
96981,3,2,0,0,0,6,1986,10,10,23,2006,2009,null,1902
107474,1,2,0,0,0,6,1978,8,9,31,2007,2009,null,1903
96981,3,2,0,0,1,6,1987,14,12,22,2006,2009,null,1912
107474,1,2,0,0,0,6,1964,27,9,45,2007,2009,null,1915
