CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_CURSO_POLO|CO_TURNO_ALUNO|DS_TURNO_ALUNO|CO_GRAU_ACADEMICO|DS_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|DS_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|DS_NIVEL_ACADEMICO|CO_ALUNO_CURSO|CO_ALUNO|CO_COR_RACA_ALUNO|DS_COR_RACA_ALUNO|IN_SEXO_ALUNO|DS_SEXO_ALUNO|NU_ANO_ALUNO_NASC|NU_MES_ALUNO_NASC|NU_DIA_ALUNO_NASC|NU_IDADE_ALUNO|CO_NACIONALIDADE_ALUNO|DS_NACIONALIDADE_ALUNO|CO_PAIS_ORIGEM_ALUNO|DS_PAIS_ORIGEM_ALUNO|CO_UF_NASCIMENTO|DS_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|DS_MUNICIPIO_NASCIMENTO|CO_ALUNO_SITUACAO|DS_ALUNO_SITUACAO|IN_ALUNO_DEF_TGD_SUPER|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_DEF_SURDEZ|IN_DEF_SURDOCEGUEIRA|IN_DEF_BAIXA_VISAO|IN_DEF_CEGUEIRA|IN_DEF_SUPERDOTACAO|IN_TGD_AUTISMO_INFANTIL|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|DT_INGRESSO_CURSO|IN_RESERVA_VAGAS|IN_FINANC_ESTUDANTIL|IN_ING_VESTIBULAR|IN_ING_ENEM|IN_ING_OUTRO_TIPO_SELECAO|IN_ING_CONVENIO_PECG|IN_ING_OUTRA_FORMA|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTROS|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_ATIVIDADE_EXTRACURRICULAR|IN_COMPL_ESTAGIO|IN_COMPL_EXTENSAO|IN_COMPL_MONITORIA|IN_COMPL_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|TP_PROCEDE_EDUC_PUBLICA|NU_SEMESTRE_CONCLUSAO|IN_ALUNO_PARFOR|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_PROCESSO_SELETIVO|IN_INGRESSO_OUTRAS_FORMAS|ANO_INGRESSO
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|250242|400002532701|2|Preta|1|Feminino|1987|02|05|25|1|Brasileira|10|Brasil|31|MINAS GERAIS|3143302|Montes Claros|2|Cursando|0||||||||||||||11FEB2008:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||1|||1|0|0|0|0|2008
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO||3|Noturno|1|Bacharelado|1|Presencial|1|Graduação|443757|400003469496|1|Branca|0|Masculino|1980|02|24|32|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|6|Formado|0||||||||||||||11FEB2008:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||1|1||1|1|0|0|0|2008
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO||3|Noturno|1|Bacharelado|1|Presencial|1|Graduação|847700|400003506182|3|Parda|1|Feminino|1988|12|22|24|1|Brasileira|10|Brasil|31|MINAS GERAIS|3132107|Itacarambi|2|Cursando|0||||||||||||||09FEB2009:00:00:00|0||0|0|0||1|||||||||||||||||||1|0|0|0|0|0|1|0|||||||||1|||1|0|0|0|0|2009
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|846775|400003472304|3|Parda|1|Feminino|1989|02|02|23|1|Brasileira|10|Brasil|31|MINAS GERAIS|3132107|Itacarambi|2|Cursando|0||||||||||||||04AUG2008:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||1|||1|0|0|0|0|2008
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102801|CIÊNCIAS BIOLÓGICAS||3|Noturno|2|Licenciatura|1|Presencial|1|Graduação|2595302|400012283735|0|Não declarado|1|Feminino|1993|04|01|19|1|Brasileira|10|Brasil|31|MINAS GERAIS|3143302|Montes Claros|2|Cursando|0||||||||||||||24FEB2011:00:00:00|0||0|1|0||0|||||||||||||||||||1|0|0|0|0|1|0|0|||||||||1||0|1|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA||2|Vespertino|1|Bacharelado|1|Presencial|1|Graduação|3248414|400012206607|0|Não declarado|1|Feminino|1992|06|01|20|1|Brasileira|10|Brasil|31|MINAS GERAIS|3132107|Itacarambi|2|Cursando|0||||||||||||||14FEB2011:00:00:00|0||0|1|0||0|||||||||||||||||||1|0|1|0|0|0|0|0|||||||||1|||1|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA||4|Integral|1|Bacharelado|1|Presencial|1|Graduação|10621170|400014240121|2|Preta|1|Feminino|1993|11|22|19|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|2|Cursando|0||||||||||||||26MAR2012:00:00:00|0||0|1|0||0|||||||||||||||||||0|||||||0|||||||||1|||1|0|1|1|0|2012
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102801|CIÊNCIAS BIOLÓGICAS||3|Noturno|2|Licenciatura|1|Presencial|1|Graduação|472954|400001626928|6|Não dispõe da informação|1|Feminino|1978|12|17|34|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|4|Desvinculado do curso|0||||||||||||||18MAR2011:00:00:00|0||0|1|0||0|||||||||||||||||||0|||||||0|||||||||1||0|0|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|686535|400009263183|3|Parda|0|Masculino|1984|11|23|28|1|Brasileira|10|Brasil|31|MINAS GERAIS|3124302|Espinosa|4|Desvinculado do curso|0||||||||||||||23MAR2010:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||1|||0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|112692|FÍSICA||2|Vespertino|2|Licenciatura|1|Presencial|1|Graduação|845673|400003235181|2|Preta|1|Feminino|1990|03|15|22|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|4|Desvinculado do curso|0||||||||||||||24FEB2011:00:00:00|0||0|1|0||0|||||||||||||||||||0|||||||0|||||||||1||0|0|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102801|CIÊNCIAS BIOLÓGICAS||3|Noturno|2|Licenciatura|1|Presencial|1|Graduação|996495|400012270080|0|Não declarado|1|Feminino|1991|04|22|21|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|2|Cursando|0||||||||||||||24FEB2011:00:00:00|0||0|1|0||0|||||||||||||||||||1|1|0|0|0|0|0|1|0|1|0|0||1|||1||0|1|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|18860|400009658955|6|Não dispõe da informação|1|Feminino|1987|05|26|25|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135605|Jequitaí|4|Desvinculado do curso|0||||||||||||||22FEB2010:00:00:00|0||0|1|0||0|||||||||||||||||||0|||||||0|||||||||1|||0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS||1|Matutino|3|Tecnologico|1|Presencial|1|Graduação|31867|400012303430|3|Parda|1|Feminino|1992|12|17|20|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|2|Cursando|0||||||||||||||01AUG2011:00:00:00|0||0|1|0||0|||||||||||||||||||1|0|0|0|0|0|1|0|||||||||1|||1|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|99503|MATEMÁTICA||3|Noturno|2|Licenciatura|1|Presencial|1|Graduação|531238|400003992725|3|Parda|1|Feminino|1991|04|28|21|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|2|Cursando|0||||||||||||||03AUG2009:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||1||0|1|0|0|0|0|2009
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|616071|400009265772|3|Parda|1|Feminino|1992|06|13|20|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|2|Cursando|0||||||||||||||30MAR2010:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||1|||1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|615240|400002788737|2|Preta|0|Masculino|1984|08|15|28|1|Brasileira|10|Brasil|31|MINAS GERAIS|3161106|São Francisco|2|Cursando|0||||||||||||||05JUL2010:00:00:00|0||0|0|0||1|||||||||||||||||||1|0|1|0|0|0|0|0|||||||||1|||1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|99503|MATEMÁTICA||1|Matutino|2|Licenciatura|1|Presencial|1|Graduação|4504103|400012328447|0|Não declarado|1|Feminino|1986|05|16|26|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|4|Desvinculado do curso|0||||||||||||||24FEB2011:00:00:00|0||0|1|0||0|||||||||||||||||||0|||||||0|||||||||1||0|0|0|0|0|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|99503|MATEMÁTICA||3|Noturno|2|Licenciatura|1|Presencial|1|Graduação|13747968|400014730579|3|Parda|1|Feminino|1975|08|01|37|1|Brasileira|10|Brasil|31|MINAS GERAIS|3135209|Januária|4|Desvinculado do curso|0||||||||||||||26MAR2012:00:00:00|0||0|1|0||0|||||||||||||||||||0|||||||0|||||||||1||0|0|0|1|1|0|2012
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS||2|Vespertino|3|Tecnologico|1|Presencial|1|Graduação|449080|400003524254|1|Branca|0|Masculino|1992|09|11|20|1|Brasileira|10|Brasil|31|MINAS GERAIS|3143302|Montes Claros|6|Formado|0||||||||||||||09FEB2009:00:00:00|0||1|0|0||0|||||||||||||||||||1|1|0|0|0|0|0|0|||||||||1|2||1|1|0|0|0|2009
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO||1|Matutino|1|Bacharelado|1|Presencial|1|Graduação|446706|400003475927|1|Branca|1|Feminino|1987|11|28|25|1|Brasileira|10|Brasil|31|MINAS GERAIS|3143302|Montes Claros|2|Cursando|0||||||||||||||04AUG2008:00:00:00|0||1|0|0||0|||||||||||||||||||0|||||||0|||||||||0|||1|0|0|0|0|2008
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA||4|Integral|1|Bacharelado|1|Presencial|1|Graduação|10075756|400014105341|3|Parda|0|Masculino|1985|12|03|27|1|Brasileira|10|Brasil|31|MINAS GERAIS|3132107|Itacarambi|2|Cursando|0||||||||||||||26MAR2012:00:00:00|0||0|1|0||0|||||||||||||||||||1|0|1|0|0|0|0|0|||||||||1|||1|0|1|1|0|2012
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|99503|MATEMÁTICA||3|Noturno|2|Licenciatura|1|Presencial|1|Graduação|13905037|400014760542|3|Parda|1|Feminino|1992|11|24|20|1|Brasileira|10|Brasil|31|MINAS GERAIS|3143302|Montes Claros|2|Cursando|0||||||||||||||26MAR2012:00:00:00|0||0|1|0||0|||||||||||||||||||1|0|0|0|0|0|1|0|||||||||1||0|1|0|1|1|0|2012
